"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물소유구분명","급수시설구분명","년도","다중이용업소여부","시설총규모","위생업종명","위생업태명","총종업원수","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"1198","뉴욕타이거푸드카페","경상남도 사천시 대방동 681번지 삼천포대교공원 ","경상남도 사천시 사천대로 17 (대방동, 삼천포대교공원)","20161014","운영중","","","","","4.40","664040","","상수도전용","2016","N","4.4","휴게음식점","푸드트럭","","","296146.68923900000  ","160108.20157100000  ","5340000-104-2016-00033","영업"
"1199","우리가족","경상남도 사천시 대방동 681번지 삼천포대교공원 ","경상남도 사천시 사천대로 17 (대방동, 삼천포대교공원)","20161014","운영중","","","","","4.40","664040","","","2016","N","4.4","휴게음식점","푸드트럭","","","296146.68923900000  ","160108.20157100000  ","5340000-104-2016-00034","영업"
"1200","동의보감촌 푸드트럭","경상남도 산청군 금서면 특리 1300-30번지 ","","20160930","운영중","","","","","4.76","666831","","간이상수도","2016","N","4.76","휴게음식점","푸드트럭","","","275111.317396       ","216042.617697       ","5450000-104-2016-00015","영업"
"1201","길보드커피(87고6500)","서울특별시 마포구 성산동 390-1번지 ","서울특별시 마포구 월드컵로 243-48 (성산동, 평화의공원내)","20160929","운영중","","","","","9.40","121850","","","2016","N","9.4","휴게음식점","푸드트럭","","","190980.13383800000  ","451531.59051000000  ","3130000-104-2016-00318","영업"
"1202","맘스푸드(mom's food)","경기도 양평군 양평읍 양근리 234-2번지 (푸드트럭) ","","20161020","운영중","","","","","10.00","476802","","","2016","N","10","휴게음식점","푸드트럭","","","243522.518966       ","442771.693769       ","4170000-104-2016-00056","영업"
"1203","THE FILL(더필)","서울특별시 서초구 반포동 115-5번지 반포한강공원 달빛광장 ","서울특별시 서초구 신반포로11길 40 (반포동, 반포한강공원 달빛광장)","20170721","운영중","","","","","10.00","137040","","","2017","N","10","휴게음식점","푸드트럭","","","199357.32032600000  ","445358.07046700000  ","3210000-104-2017-00332","영업"
"1204","뚜레쥬르(87조 2992)","서울특별시 서대문구 신촌동 134번지 연세대학교 대강당앞 ","서울특별시 서대문구 연세로 50 (신촌동)","20161024","운영중","","","","","","120140","","","2016","N","0","휴게음식점","푸드트럭","","02  15770700","195227.16856600000  ","452804.37559900000  ","3120000-104-2016-00184","영업"
"1205","모닝카페","전라북도 익산시 어양동 52번지 중앙체육공원 내 ","전라북도 익산시 하나로 322 (어양동, 중앙체육공원 내)","20160926","운영중","","","","","","570210","","상수도전용","2016","N","0","휴게음식점","푸드트럭","","","198748.43891500000  ","272466.94247900000  ","4680000-104-2016-00073","영업"
"1206","장안구청 푸드트럭","경기도 수원시 장안구 조원동 888번지 ","경기도 수원시 장안구 송원로 101 (조원동)","20160512","운영중","","","","","8.89","440200","","","2016","N","8.89","휴게음식점","푸드트럭","","","200914.32189400000  ","422754.20644700000  ","3750000-104-2016-00034","영업"
"1207","츄로츄러스","충청북도 청주시 흥덕구 오송읍 봉산리 370-31번지 오송역 서광장 ","충청북도 청주시 흥덕구 오송읍 오송가락로 123 (오송역 서광장)","20161007","운영중","","","","","17.40","361953","","상수도전용","2016","N","17.4","휴게음식점","푸드트럭","","","229409.92542900000  ","347040.24156800000  ","5730000-104-2016-00099","영업"
"1208","커피볶는낭만곰","충청북도 청주시 흥덕구 오송읍 봉산리 370-31번지 오송역 서광장 ","충청북도 청주시 흥덕구 오송읍 오송가락로 123 (오송역 서광장)","20161007","운영중","","","","","9.45","361953","","상수도전용","2016","N","18.4","휴게음식점","푸드트럭","","","229409.92542900000  ","347040.24156800000  ","5730000-104-2016-00100","영업"
"1209","달려라 청춘마켓","충청남도 청양군 청양읍 정좌리 455번지 ","충청남도 청양군 청양읍 구봉로 1026-84 (청양군농업기술센터 주차장 내)","20161025","운영중","","","","","10.00","345802","","","2016","N","10","휴게음식점","푸드트럭","","","180239.20559900000  ","325032.74285500000  ","4590000-104-2016-00004","영업"
"1210","88푸드트럭","인천광역시 계양구 평동 35-1번지 ","","20160926","운영중","","","","","15.00","407400","","","2016","N","15","휴게음식점","푸드트럭","","","179784.936888       ","453377.899341       ","3550000-104-2016-00118","영업"
"1211","추억의 국민학교 떡볶이","서울특별시 중구 태평로2가 360-1번지 세종대로사거리 ","서울특별시 중구 세종대로 93 (태평로2가, 세종대로사거리)","20160926","운영중","","","","","3.00","100102","","","2016","N","3","휴게음식점","푸드트럭","","070 50155062","197935.05331200000  ","451685.64816400000  ","3010000-104-2016-00316","영업"
"1212","토시킹","서울특별시 서초구 반포동 115-5번지 반포한강공원 ","서울특별시 서초구 신반포로11길 40 (반포동, 반포한강공원)","20160920","운영중","","","","","10.00","137040","","","2016","N","10","휴게음식점","푸드트럭","","","199357.32032600000  ","445358.07046700000  ","3210000-104-2016-00366","영업"
"1213","지엔케이푸드(G&K Food)","대구광역시 수성구 상동 725번지 (수성랜드내) ","대구광역시 수성구 용학로 35-5 (상동, 수성랜드 )","20160930","운영중","","","","","3.30","706830","","","2016","N","3.3","휴게음식점","푸드트럭","","","345812.79778500000  ","260031.00791800000  ","3460000-104-2016-00139","영업"
"1214","커피의 꿈","경기도 가평군 조종면 현리 420-48번지 ","경기도 가평군 조종면 조종희망로26번길 16","20160930","운영중","","","","","21.00","","","상수도전용","2016","N","21","휴게음식점","푸드트럭","","","231010.86603400000  ","479902.62836400000  ","4160000-104-2016-00050","영업"
"1215","바다향","강원도 양양군 양양읍 남문리 226-2번지 ","","20161014","운영중","","","","","10.00","215806","","","2016","N","10","휴게음식점","푸드트럭","","","342453.824334       ","509055.212455       ","4350000-104-2016-00023","영업"
