NUM,가게명,x,y,주소
109,거유와플,339966.0768,156890.3635,경상남도 거제시 사등면 지석리 25번지 
110,꿀삐닭강정,339966.0768,156890.3635,경상남도 거제시 사등면 지석리 25번지 
111,맛있는푸드트럭,331795.7609,150527.7562,경상남도 통영시 정량동 682-1번지 외1필지 
112,송이,349333.8899,154415.697,경상남도 거제시 상동동 376번지 독봉산 웰빙공원내 
113,봉커피,315769.5811,164923.9205,경상남도 고성군 고성읍 이당리 653-2번지 갈모봉 제3주차장 
114,짱푸드,349243.8734,154409.6415,경상남도 거제시 상동동 1005-12번지 독봉산웰빙공원 
115,킹스테이크&퀸쥬시,354967.3791,156338.4143,경상남도 거제시 옥포동 660-4번지 옥포종합사회복지관 
116,거북선,331795.7609,150527.7562,경상남도 통영시 정량동 682-1번지 외1필지 
117,머스마들1,297429.222,228601.0558,경상남도 합천군 용주면 가호리 256번지 
118,머스마들3,297429.222,228601.0558,경상남도 합천군 용주면 가호리 256-5번지 합천영상테마파크내 
119,머스마들2,297429.222,228601.0558,경상남도 합천군 용주면 가호리 256번지 
120,오늘밤새우자,297429.222,228601.0558,경상남도 합천군 용주면 가호리 256번지 
121,Guormet(고메),297429.222,228601.0558,경상남도 합천군 용주면 가호리 256-5번지 합천영상테마파크내 
122,쿡스토리,302814.8263,252842.7239,경상남도 합천군 가야면 야천리 943번지 
123,대장경스낵,302814.8263,252842.7239,경상남도 합천군 가야면 야천리 943번지 
124,늘푸른 매점,305711.9857,229365.8956,경상남도 합천군 대양면 정양리 613번지 
125,고스트파크푸드트럭,297429.222,228601.0558,경상남도 합천군 용주면 가호리 256번지 
126,행복한푸드,292201.6288,225398.3536,경상남도 합천군 대병면 회양리 700-21번지 
127,투헌터,297429.222,228601.0558,경상남도 합천군 용주면 가호리 256-5번지 합천영상테마파크내 
128,새참컴퍼니리꼬,299056.5515,188479.0242,경상남도 진주시 장대동 356-16번지 유등축제 푸드트럭존 내 
129,부릉부릉치킨,299056.5515,188479.0242,경상남도 진주시 장대동 356-16번지 푸드트럭 존 
130,호순이네,302814.8263,252842.7239,경상남도 합천군 가야면 야천리 943번지 
131,꼴통버거＆꼴통꼬치,353565.397,184724.3615,경상남도 창원시 진해구 경화동 1007-14번지 
