EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	INFLOW_NM3	INFLOW_NM4	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
KIMJANG	1	20141031	1153000000	서울특별시	구로구			2565.874301	1521.604245	1044.270056	111.838422	111.209995	105.016084	97.733721	59.198397	28.489798	186.02789	164.074009	210.976042	127.518436	74.570358	94.371977	76.582968	15.434393	58.561755	111.838422	111.353753	105.192701	85.444477	23.998255	76.098298	132.915517	82.838489	28.473368	6.940356	31.950119	26.462675	48.617817	85.945576	86.200233
KIMJANG	1	20141031	2600000000	부산광역시				2377.135247	1361.954742	1015.180505	103.586921	102.474255	99.173345	81.821052	15.569732	178.659388	258.17263	155.595409	142.571916	48.387377	18.165246	4.390086	33.97111	59.46706	59.949215	103.586921	102.543134	95.263118	63.647505	49.367584	152.898517	137.405966	47.34359	0.956716	28.619716	12.851647	5.953117	60.39958	80.671297	73.672097
KIMJANG	1	20141031	2700000000	대구광역시				2540.397953	1509.863437	1030.534516	110.228592	109.40095	101.996902	72.775894	59.371064	224.70575	215.131937	141.330064	119.110467	54.628895	66.491774	43.742783	63.627086	57.266913	70.054366	111.242641	108.357076	100.252142	55.551977	81.299869	145.960391	90.985525	10.264261	17.176197	13.946153	23.460316	40.997395	68.786805	80.851003	81.402765
KIMJANG	1	20141031	4200000000	강원도				2535.228118	1435.17886	1100.049258	124.946337	116.580733	63.537085	86.180479	12.445105	170.395456	220.229369	117.370254	106.24686	89.257398	102.12401	18.956809	46.556846	78.598862	81.753257	124.946337	115.20645	40.155822	60.502594	70.192675	171.723622	141.563175	16.503391	30.605936	21.404694	21.930426	36.097535	87.065923	82.25132	79.899358
KIMJANG	1	20141031	4800000000	경상남도				2406.237102	1424.243446	981.993656	112.56061	110.161641	106.596738	74.277751	26.957094	205.747443	221.709819	116.138375	102.885325	70.046281	49.806023	9.178436	50.254502	83.99945	83.923958	112.56061	104.306813	96.464027	16.996057	86.386117	206.85466	86.41967	16.555967	11.241885	8.943572	6.536214	13.611777	49.155673	92.228084	73.73253
KIMJANG	1	20141031	3000000000	대전광역시				2414.724331	1548.66624	866.058091	108.74827	107.161448	99.260058	94.483234	16.164587	202.972213	243.297114	177.902067	134.730703	121.578077	54.08908	22.483518	31.247572	73.012064	61.536235	108.74827	102.245573	100.536059	74.975142	26.344238	112.997789	64.40342	46.563945	28.891878	12.974585	28.106647	2.161295	23.796054	59.156003	74.157193
KIMJANG	1	20141031	1154500000	서울특별시	금천구			2523.150355	1617.151416	905.998939	124.005752	123.949276	116.522579	106.215567	55.00054	66.151567	170.784215	146.743931	204.067863	158.952328	114.552167	126.346401	43.880889	24.876453	35.101888	124.005752	123.855148	94.882559	54.040435	25.798907	38.892107	79.480087	32.914982	28.133281	10.769808	16.944603	20.455576	65.40168	107.166259	83.257755
KIMJANG	1	20141031	4700000000	경상북도				2390.617897	1243.998264	1146.619633	100.925383	99.904513	89.061635	51.02649	44.997169	214.322396	234.809401	141.276046	56.860917	3.953552	37.943885	9.797259	45.017278	63.501213	50.601127	100.925383	99.711166	96.346935	52.194304	97.502374	186.233	163.572778	13.83743	24.4684	29.557283	24.4684	47.213695	76.517307	81.621657	52.449521
KIMJANG	1	20141031	4400000000	충청남도				2465.728995	1312.154787	1153.574208	113.327889	108.10561	62.24498	63.667631	12.899297	161.181998	239.887321	120.419939	101.527835	76.874432	59.016179	8.131205	61.317164	57.199427	66.35388	113.327889	108.043755	72.026814	45.394071	159.38822	187.063651	114.605625	10.048691	13.768793	27.827417	24.248697	34.357476	75.764587	94.206039	73.502483
KIMJANG	1	20141031	4500000000	전라북도				2381.892802	1400.963446	980.929356	109.887047	106.640294	76.010723	74.816514	16.092576	206.829999	251.603472	175.314101	121.481439	55.296188	39.314326	1.108996	54.151117	33.233816	79.182838	109.887047	108.095735	54.263074	56.567522	11.129148	156.542641	119.326266	36.907249	6.382793	46.127531	43.981688	49.943399	62.64119	77.997959	41.136114
