EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	INFLOW_NM3	INFLOW_NM4	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
DRUM	1	20140829	1130500000	서울특별시	강북구			2486.254556	1498.540079	987.714477	131.858491	128.16523	122.502577	109.662355	25.772557	40.800179	146.797306	106.573667	218.787175	58.352313	121.534772	166.564354	96.068507	12.324976	12.77562	131.858491	126.718223	114.536207	109.218328	14.074966	57.344111	87.396916	49.769529	40.460629	26.277878	0.316739	24.033016	39.135164	73.717048	92.857232
DRUM	1	20140829	1174000000	서울특별시	강동구			2526.93846	1658.613571	868.324889	109.825974	109.67475	105.057699	105.199471	61.949462	60.962412	186.350575	139.660227	176.242209	152.240157	130.463928	145.189346	124.627635	8.071256	43.09847	109.825974	109.755088	104.391369	103.077612	34.989093	36.45943	66.496257	26.346338	18.430716	1.322893	12.735565	11.034297	69.094787	85.24738	79.11809
DRUM	1	20140829	1153000000	서울특별시	구로구			2450.806362	1420.748976	1030.057386	114.644618	114.623009	113.099598	96.871487	62.481289	14.191675	191.334148	170.433161	187.666076	132.699021	22.105849	132.688217	26.206095	5.256489	36.448244	114.644618	114.433934	112.300077	72.421277	1.226113	81.162344	135.799866	83.960668	39.35497	2.544602	0.977612	28.771764	59.980086	93.500535	88.97892
DRUM	1	20140829	2600000000	부산광역시				2441.098716	1332.821798	1108.276918	95.015808	94.635857	90.263305	73.856891	2.457225	145.09461	265.190307	133.988826	151.709498	42.327178	15.219845	30.087768	52.461283	66.49456	74.018837	95.015808	94.841404	85.940582	69.889205	56.597145	174.09547	164.428517	41.810194	19.511424	42.021971	26.649522	34.597352	59.811157	74.990516	68.076651
DRUM	1	20140829	2700000000	대구광역시				2413.063451	1401.149842	1011.913609	102.561425	99.419992	92.546973	49.592873	2.413274	251.848484	242.696565	140.627237	115.014574	45.29474	49.852541	17.702792	51.708347	65.272799	74.597226	102.561425	97.095695	90.594927	55.794025	67.675179	147.672763	82.220194	14.03476	29.478624	37.099776	17.661026	48.457963	72.953875	73.362443	75.250934
DRUM	1	20140829	1154500000	서울특별시	금천구			2504.382949	1545.543329	958.83962	119.79758	116.321348	98.533874	107.980648	55.995177	58.460894	238.446198	130.807154	139.396154	147.94001	46.124784	163.436331	72.094948	24.946104	25.262125	119.79758	119.481559	75.09188	98.454869	18.490244	15.120857	111.575012	71.361327	43.303167	8.766576	46.819278	5.358062	58.038028	87.258693	79.922488
DRUM	1	20140829	4800000000	경상남도				2345.772224	1299.038017	1046.734207	101.872013	101.159922	83.079003	59.404557	48.420468	238.641646	228.435007	104.345411	68.018449	38.987842	24.00297	5.653727	50.095774	71.28306	75.638168	101.872013	101.397286	90.096711	49.87905	145.605409	213.315975	41.082835	16.376373	20.187952	21.756616	15.254916	27.82487	41.148196	86.371134	74.564871
DRUM	1	20140829	4700000000	경상북도				2342.371582	1181.822845	1160.548737	93.90457	92.835917	90.777771	60.410219	37.213197	236.536741	228.670268	88.686642	43.427216	35.27379	11.93164	17.228728	32.941883	53.770719	58.213544	93.90457	93.90457	79.952713	64.516617	95.197509	228.808796	156.536201	8.903791	31.685227	37.424289	27.756938	47.685335	60.459694	67.890789	65.921698
DRUM	1	20140829	4400000000	충청남도				2417.406969	1272.972167	1144.434802	101.256939	98.268797	91.965344	61.963962	38.007932	185.691949	234.461917	92.5906	74.999822	84.41138	2.706413	33.874698	54.351833	66.402552	52.018029	101.136978	99.806491	87.330452	61.691321	123.235416	241.212501	95.51331	1.997547	9.475174	40.479874	35.943133	29.726925	51.756294	84.909403	80.219983
DRUM	1	20140829	4200000000	강원도				2423.875269	1372.682707	1051.192562	103.126807	102.956986	95.881125	79.97459	47.923015	234.284214	234.272892	128.225546	77.969951	14.864592	70.792197	16.551476	31.394558	58.803613	75.661145	103.126807	102.719237	95.145236	44.991532	112.285046	165.235131	96.016226	13.517348	25.869725	8.72916	39.115738	5.672388	81.253905	75.638502	81.876581
