EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	INFLOW_NM3	INFLOW_NM4	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
HISEOUL	1	20140917	1121500000	서울특별시	광진구			2593.166824	1572.009328	1021.157496	109.511861	108.732387	105.915852	97.18517	60.323901	44.87893	188.273061	144.329885	214.624478	124.318572	126.555574	102.029689	64.838086	22.967131	57.524751	109.511861	109.511861	103.771575	92.551794	31.758664	94.003141	96.434286	53.044567	40.459983	2.793161	22.181862	23.607516	79.080523	90.807397	71.639305
HISEOUL	1	20140917	2600000000	부산광역시				2375.944634	1393.48227	982.462364	100.482148	98.125577	82.287723	87.131785	27.545222	145.036432	276.233025	162.119801	162.530254	50.041154	29.129243	7.821031	26.894157	67.822767	70.281951	100.482148	98.58203	72.029918	74.818173	29.957227	132.87497	155.633924	36.595256	4.931342	23.341609	23.430069	19.781984	52.40952	83.664159	73.930035
HISEOUL	1	20140917	2700000000	대구광역시				2510.281063	1417.472861	1092.808202	105.617934	103.740993	87.636261	71.648229	5.564042	193.724889	247.528893	127.370668	123.855051	100.505135	56.635299	0.013291	46.868726	66.591188	80.172262	105.617934	103.531904	85.136915	34.398904	55.798943	140.820454	122.838781	11.603317	34.496155	44.150566	35.402857	73.121579	73.194517	89.897342	82.798034
HISEOUL	1	20140917	4800000000	경상남도				2395.995764	1307.41161	1088.584154	108.57347	106.692891	54.196707	74.763047	2.363586	191.176077	259.197046	117.404764	68.61258	90.750833	44.645191	7.153634	57.849262	44.799525	79.232997	108.57347	107.53315	41.695711	51.338684	108.224792	203.819976	100.942546	3.706857	14.984619	33.26454	44.679488	37.482984	68.063839	89.870562	74.402936
HISEOUL	1	20140917	4700000000	경상북도				2274.552728	1277.826839	996.725889	92.519303	90.334143	86.452272	71.963381	23.201593	265.76456	270.021765	120.310073	69.742916	26.245392	4.923378	10.506417	45.417551	37.036822	63.387273	92.519303	90.55523	87.264637	66.364231	61.840352	170.460765	99.029192	25.736378	18.712333	40.856995	3.498483	48.764701	53.109312	73.906887	64.10709
HISEOUL	1	20140917	3000000000	대전광역시				2474.452858	1396.813506	1077.639352	95.774935	91.515445	90.485797	81.733792	14.692891	153.811657	226.694453	187.687065	165.771828	106.366577	15.893063	1.166573	38.840838	63.742054	62.636538	95.774935	92.566769	89.916782	76.672261	74.095252	170.459434	97.094328	39.352772	17.749319	34.489222	21.607788	37.285529	64.538676	85.435105	80.60118
HISEOUL	1	20140917	4200000000	강원도				2460.319257	1347.324639	1112.994618	101.16905	98.87446	88.528368	74.433862	6.367245	204.26252	199.340536	213.084723	86.800516	54.880605	40.027074	22.044026	24.221454	70.813898	62.476302	101.16905	93.520416	77.335672	65.38979	98.658819	173.574564	117.45344	13.66556	9.414632	32.524017	47.862156	44.353126	83.419548	86.350551	68.303277
HISEOUL	1	20140917	4400000000	충청남도				2394.724239	1301.896484	1092.827755	97.017837	95.554092	83.19986	72.049402	16.907477	208.350985	233.641558	120.514992	136.384473	34.481835	37.222824	11.137271	32.257018	59.542578	63.634282	97.017837	93.576059	71.591628	66.098347	119.746384	210.837657	93.042932	12.301485	3.13848	32.262669	19.422406	39.016241	76.293697	77.192289	81.289644
HISEOUL	1	20140917	1154500000	서울특별시	금천구			2500.762081	1593.272347	907.489734	113.638572	113.463562	110.145107	95.397166	54.53911	45.290515	190.420754	153.971599	175.194902	108.920039	138.294759	150.673337	103.010092	18.877499	21.435334	113.638572	113.638572	107.028586	76.879784	14.239739	0.070677	103.016824	67.34848	1.477487	0.467815	39.198829	19.315023	62.279928	94.939448	93.94997
HISEOUL	1	20140917	4500000000	전라북도				2339.914974	1303.132282	1036.782692	100.677156	99.825048	59.535278	69.194676	6.103091	205.834712	280.228334	152.229935	86.240314	25.200728	43.374705	10.991115	42.154868	59.899539	61.642783	100.677156	95.174227	49.914909	61.460653	28.342472	191.817202	107.146242	43.439752	27.935714	27.935714	42.21341	54.969018	78.82155	87.544279	39.390394
HISEOUL	1	20140917	2900000000	광주광역시				2499.819271	1412.822842	1086.996429	101.881877	100.033267	77.393058	83.318453	0.433217	189.066948	199.322169	180.414327	144.116891	64.457937	62.208677	10.590032	63.81315	68.529567	67.243272	101.881877	98.641537	43.808793	72.233817	97.030036	181.194539	94.141143	9.934467	2.132346	25.890156	54.21865	51.357872	94.157075	83.915912	76.458209
HISEOUL	1	20140917	4300000000	충청북도				2454.408734	1326.582661	1127.826073	105.848796	104.340045	86.283967	73.210845	1.867317	201.60201	214.879018	138.683022	107.619064	62.160808	47.073299	1.777607	28.17667	93.183444	59.876749	105.848796	105.595978	16.808028	67.420504	104.07146	194.604668	129.671293	26.839727	20.616605	53.132225	15.266656	51.966001	69.279937	87.13213	79.572065
HISEOUL	1	20140917	4600000000	전라남도				2445.436263	1279.170505	1166.265758	104.223927	104.223927	77.22639	60.574086	23.088792	199.277209	210.851092	149.033613	96.160706	27.782235	48.407174	6.010556	57.33045	48.697135	66.283213	104.223927	100.595314	46.633003	49.221359	116.630016	227.175757	118.30098	5.759911	37.287072	41.595538	38.867935	66.987639	76.530155	77.537648	58.919504
HISEOUL	1	20140917	3100000000	울산광역시				2341.882665	1386.362966	955.519699	95.253482	93.977419	31.528004	74.703319	1.949233	158.738543	294.012321	108.9277	140.218984	63.011623	59.593993	23.53874	74.980724	83.546991	82.38189	98.815362	97.960955	17.524599	59.645775	45.069067	160.447358	137.489319	11.654709	1.483192	1.412916	20.487285	45.076464	77.333119	92.324085	88.795494
HISEOUL	1	20140917	5000000000	제주특별자치도				2355.054723	1280.625634	1074.429089	101.958791	101.958791	67.346999	81.148985	24.587904	205.35974	295.692245	53.922466	44.479001	60.438884	18.2068	38.781588	35.491331	72.111462	79.140647	101.958791	101.91606	77.452788	47.534241	53.858371	199.804762	106.288827	49.499848	36.061072	46.473097	24.488199	36.110925	85.35795	72.880613	34.743545
HISEOUL	1	20140917	3600000000	세종특별자치시				2125.436927	1453.05131	672.385617	73.416236	63.580045	44.508764	66.312321	34.016827	142.597446	77.62394	199.592709	359.048295	61.284935	145.548303	12.486497	30.519515	73.416236	69.099241	73.416236	73.416236	34.071473	69.536405	5.000063	52.978817	6.25691	30.082351	9.863514	36.858393	68.115622	0.30055	72.651199	66.421612	73.416236
HISEOUL	1	20140917	4900000000	제주도				1058.93029	273.861285	785.069005	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	529.465139	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419	18.257419
HISEOUL	1	20140918	4100000000	경기도				2507.303205	1542.798739	964.504466	109.843169	108.279419	103.399385	93.384837	42.941216	55.401474	137.38472	152.268698	228.740554	193.328667	132.637917	90.326304	18.41385	33.148415	43.300114	109.851698	108.057442	102.68159	84.693853	27.174677	99.399927	69.554059	23.857932	25.162824	0.401633	18.937743	49.179851	78.219411	88.494199	78.837627
