EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
KIMJANG	1	20151023	1174000000	서울특별시	강동구	2560.256002	1528.379034	1031.876968	110.863828	109.154736	106.594703	90.938843	50.555233	49.185074	195.128558	151.478202	200.371215	148.846055	130.666219	72.088351	9.392795	33.154223	69.960999	110.863828	110.863828	106.342306	69.737447	7.575532	76.826213	127.132654	58.228119	48.586531	12.198014	30.370639	48.233175	61.401116	94.919513	68.598053
KIMJANG	1	20151023	1126000000	서울특별시	중랑구	2528.627744	1472.77232	1055.855424	120.533938	120.161941	113.388136	59.526435	36.332857	29.251073	209.782064	164.294623	134.154217	146.369559	91.184242	105.813239	4.292672	62.926315	74.761009	120.533938	119.634224	114.599288	64.708439	11.01457	130.840849	110.112832	84.981409	24.830365	7.571436	9.82072	19.143137	81.405048	69.033986	87.625183
KIMJANG	1	20151023	2600000000	부산광역시		2437.479538	1328.878593	1108.600945	98.008192	97.6825	95.774875	76.977789	2.189581	119.684395	262.505025	137.588155	135.978305	52.042803	57.104988	22.214991	50.392009	65.336623	55.398362	98.008192	98.008192	94.993214	77.238342	31.915033	197.245639	145.981705	78.693721	12.64895	29.454661	12.081315	16.538644	68.677293	81.974836	65.141208
KIMJANG	1	20151023	2700000000	대구광역시		2307.645027	1328.754018	978.891009	91.155302	86.614934	74.903666	74.807574	6.63078	206.551126	286.512058	178.576212	124.091791	29.536818	9.885911	12.467595	31.265681	57.691106	58.063464	91.155302	89.858054	91.047198	62.075324	50.941412	155.502011	83.805031	5.813193	21.789364	37.04324	28.743254	67.516559	65.402525	66.111207	62.087335
KIMJANG	1	20151023	4500000000	전라북도		2677.183966	1382.559845	1294.624121	118.109664	103.784956	62.168477	50.039041	41.608942	224.4398	159.599099	112.119234	78.915628	76.493185	78.883328	26.153761	76.992747	105.480666	67.771317	118.109664	115.977915	108.017232	146.437164	59.56839	135.277781	76.767728	19.904937	47.729646	78.12322	55.319964	71.308083	86.05268	93.271558	82.758159
KIMJANG	1	20151023	4800000000	경상남도		2409.695764	1338.042696	1071.653068	95.372349	95.372349	88.730164	77.070312	41.021718	220.727549	243.483912	141.833584	98.757637	19.732662	20.138792	2.426297	37.701935	72.065746	83.60769	95.372349	90.891822	90.826317	60.864428	100.473862	186.796069	115.395853	14.059947	22.793045	29.644846	49.807219	31.505182	67.729329	64.480292	51.012508
KIMJANG	1	20151023	4200000000	강원도		2553.181223	1428.628398	1124.552825	109.850383	107.811233	95.561002	73.697636	15.273692	223.573619	204.102037	127.994217	79.269268	106.66747	75.512939	8.920131	40.902587	88.860939	70.631245	109.850383	96.450256	88.707619	75.53747	120.619549	139.109885	124.053905	38.148968	17.843328	22.265063	42.742421	33.604577	55.544603	88.063677	72.011121
KIMJANG	1	20151023	4400000000	충청남도		2466.876785	1454.250926	1012.625859	105.460554	105.460554	98.825699	83.284998	9.025086	224.575254	218.28179	119.96125	92.531245	48.194975	119.901877	16.801868	62.074241	85.956752	63.914783	105.460554	100.502967	88.984739	33.173782	98.809867	140.429854	116.176266	6.82831	14.8881	0.667444	3.932921	47.364752	77.214179	93.645465	84.546659
KIMJANG	1	20151023	1154500000	서울특별시	금천구	2535.858823	1505.052768	1030.806055	113.327175	113.327175	111.528587	91.011355	65.731194	25.180795	144.220709	175.029864	226.322944	132.713073	75.990919	78.921953	7.378099	65.48139	78.887536	113.327175	113.327175	108.014678	52.041937	23.648664	122.837489	79.904516	99.189382	75.124933	4.895603	1.466072	11.340545	48.294877	89.262727	88.130282
KIMJANG	1	20151023	4700000000	경상북도		2471.137902	1343.44088	1127.697022	93.498614	93.498614	75.007551	82.146155	4.480918	204.728688	197.201967	159.665386	128.297112	59.212062	39.071496	26.215541	67.577859	55.601638	57.237279	93.498614	92.403566	67.89667	66.67687	97.608047	213.392042	136.392151	5.82547	16.06902	59.593711	39.771957	42.724428	63.03133	84.655062	48.158084
