EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
LAMP	1	20151023	1153000000	서울특별시	구로구	2589.399605	1527.096967	1062.302638	120.485068	119.589251	116.1951	92.749578	59.440114	50.834963	161.587807	195.141131	217.561442	166.708895	68.552232	47.56523	17.097829	37.154177	56.43415	120.485068	118.200735	113.278718	89.250914	19.277319	65.431804	120.748505	57.608334	61.505139	20.506579	11.135669	13.748469	60.539979	93.520976	97.06443
LAMP	1	20151023	2600000000	부산광역시		2467.186856	1345.212496	1121.97436	100.161886	100.10323	94.224632	79.49555	5.020706	166.356292	312.474	93.838374	114.752366	29.512692	35.423876	36.474899	54.31273	63.352215	59.709048	100.161886	100.161886	98.845393	61.586029	94.268515	177.898418	118.66926	30.040593	12.074154	35.601582	41.630078	31.469618	65.72451	81.822223	72.020215
LAMP	1	20151023	4200000000	강원도		2543.346387	1365.634822	1177.711565	112.638981	111.832378	105.37955	88.469683	54.779262	260.271112	195.74283	106.968431	73.129492	60.35827	35.286344	6.690328	55.696614	54.198636	44.192911	112.638981	105.677225	88.969009	70.801225	167.338863	150.621046	92.478374	1.476213	27.235032	29.956999	64.348397	46.900794	50.722559	85.848221	82.698627
LAMP	1	20151023	4400000000	충청남도		2515.652509	1345.107869	1170.54464	109.281733	109.281733	100.822471	80.55444	60.165036	212.331172	216.072962	104.040544	72.617553	17.104273	43.487918	28.450346	59.572251	66.78425	64.541187	109.281733	107.581834	93.861936	2.308779	166.041607	176.935044	127.909545	11.27097	25.453561	22.868507	16.98424	50.197658	87.112632	94.696798	78.039796
LAMP	1	20151023	4800000000	경상남도		2440.364271	1274.064447	1166.299824	94.727315	94.727315	86.192366	69.406395	71.68697	269.677121	222.717698	98.590985	61.715191	0.223985	21.750639	5.824471	43.48321	67.461941	65.878845	94.727315	90.32218	85.899838	50.168346	156.761131	193.043266	77.115953	5.514735	40.635359	47.638835	65.440053	56.414689	62.213636	73.303906	67.100582
LAMP	1	20151023	2700000000	대구광역시		2414.859634	1332.84476	1082.014874	103.092385	96.876514	100.588902	79.171278	52.056883	213.897969	251.269345	187.311558	105.258262	7.175063	9.859405	3.476636	21.324656	37.459266	64.026638	103.092385	101.436088	100.408042	76.039546	69.57174	175.04164	73.950455	0.706623	17.779166	31.528964	30.044008	55.335843	83.083564	86.900661	77.096149
LAMP	1	20151023	1154500000	서울특별시	금천구	2694.527705	1541.03643	1153.491275	130.134937	130.134937	125.553229	119.011367	42.589441	41.649048	163.515266	166.521635	219.145136	134.016761	92.300371	51.064999	22.146124	41.711581	61.541598	130.134937	130.062784	124.362706	78.846264	59.398657	108.414513	86.227503	71.724774	49.080795	24.42856	21.590547	24.743628	53.628831	93.553426	97.29335
LAMP	1	20151023	4700000000	경상북도		2536.204086	1355.581982	1180.622104	98.329922	98.329922	93.790758	84.644969	62.901956	238.435572	187.512126	168.324281	55.779997	37.314948	31.532573	16.133467	58.961588	58.73993	64.849973	98.329922	98.310647	95.332724	68.155564	146.062139	198.778119	96.487914	1.234216	39.022033	53.352685	38.983484	17.5116	66.025722	87.873461	75.161874
LAMP	1	20151023	4500000000	전라북도		2587.607369	1338.761786	1248.845583	122.318432	114.295215	70.539988	71.101736	16.762865	260.707721	165.735797	81.412647	116.497428	50.199038	42.322365	7.213161	63.298333	107.297799	49.059261	122.318432	122.220737	50.194968	27.594816	106.53252	198.707918	126.950812	21.684258	44.785097	75.583502	63.273909	65.08127	60.31863	96.758931	66.839783
LAMP	1	20151023	3000000000	대전광역시		2530.465265	1341.132956	1189.332309	104.520132	104.520132	100.831712	53.002296	23.897975	139.755813	191.655585	206.867588	148.813175	68.377258	17.721509	10.322846	27.128798	67.537725	76.180412	104.520132	103.134246	93.902285	58.229376	102.707932	228.419743	69.250257	19.140132	30.751743	63.107256	26.452224	34.101875	84.844924	90.508503	80.261681
